Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,Cluster
Adikmet,Hyderabad,Us Pizza,200.0,3.2,20.0,"Italian,Pizzas,Fast Food,Beverages,Desserts",O.U Road,48.0,1
Amberpet,Hyderabad,Surabhi Grand,300.0,4.0,500.0,"Mughlai,North Indian,Chinese,Seafood",Tilaknagar,45.0,1
Himayatnagar,Hyderabad,Bluedragon By Mandilicious,300.0,4.2,20.0,Chinese,Himayathnagar,34.0,0
Adikmet,Hyderabad,Frosty Den,200.0,2.2,20.0,"Ice Cream,Pizzas,Fast Food,Beverages,Desserts",O.U Road,43.0,0
Banjara Hills,Hyderabad,Sitara Grand - Nizami Pakwaan,300.0,3.6,100.0,"Biryani,Chinese,South Indian,North Indian,Tandoor",Road No 12,61.99999999999999,1
Karve Nagar,Pune,Cheesiano Pizza,500.0,3.8999999999999995,100.0,"Italian,Pizzas,Fast Food",Karvenagar,52.0,0
Domlur,Bangalore,Venus Biryani,200.0,4.1,500.0,Biryani,3Rd Cross,49.0,1
Andheri East,Mumbai,Rj Spice,450.00000000000006,4.1,20.0,Chinese  Thai  Fast Food,Jb Nagar  Andheri East,55.0,1
Agarkar Nagar,Pune,Blue Nile,1000.0,4.2,1000.0,"Biryani,Mughlai,Tandoor,Chinese,Desserts,Ice Cream,Beverages",Bund Garden Road,30.999999999999996,0
Koregaon Park,Pune,Arthur'S Theme,800.0,4.3,100.0,"Italian,European",Lane No 6 Opp Cosmos Bank Kp,56.0,0
Mundhwa,Pune,Carnival Restaurant & Bar,1000.0,4.2,100.0,"North Indian,Chinese,Seafood,Continental",Mundhwa Road Kp,64.0,0
Shivajinagar,Pune,Smokin' Joe'S,400.0,4.0,50.0,"American,Fast Food",Jm Road,35.0,1
Mohammed Wadi,Pune,Chai - The Way You Like It,250.0,4.0,50.0,Fast Food,Salunkhe Vihar Road,73.0,0
Shivajinagar,Pune,Mainland China,850.0,4.4,100.0,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Pyramid Mall,53.0,1
Bandra Area,Mumbai,Theobroma,800.0,4.7,500.0,"Desserts,Bakery,Beverages",Bandra Area,40.0,1
Paschim Vihar,Delhi,Deli 63,400.0,2.9,80.0,"Street Food,Fast Food",Punjabi Bagh,60.0,0
Malleshwaram,Bangalore,Food Paradise,326.0,3.8999999999999995,100.0,"Mughlai,North Indian,Chinese,Fast Food",Malleshwaram,53.0,0
Ashok Nagar,Bangalore,Corner House Ice Cream,250.0,4.7,1000.0,"Ice Cream,Desserts",Residency Road,30.999999999999996,0
Kalighat,Kolkata,Bachan'S Dhaba,250.0,4.3,4999.999999999999,"North Indian,Chinese",Near Kalighat Metro Rash Behari Avenue,61.0,0
Ballygunge,Kolkata,Mainland China,850.0,4.5,100.0,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Ballygunge,64.0,1
Lakdikapul,Hyderabad,Chicha'S,200.0,3.8,500.0,"Biryani,Hyderabadi,Indian,Street Food",P & T Officers Colony,40.0,0
Deccan Gymkhana,Pune,Le Plaisir,1000.0,4.5,500.0,"Italian,Continental,European,Desserts",Prabhat Road Deccan,40.0,0
Deccan Gymkhana,Pune,Cafe Goodluck,200.0,4.4,100.0,"North Indian,Fast Food,Biryani,Cafe,Snacks,Beverages,Bakery",Shivajinagar,35.0,0
Camp,Pune,George Restaurant,600.0,4.3,1000.0,"North Indian,Chinese,Biryani,Mughlai,Parsi,Fast Food",East Street,33.0,0
Camp,Pune,Marzorin,200.0,4.4,1000.0,"Fast Food,Bakery,Beverages,Snacks,Desserts",Mg Road,33.0,1
Antop Hill,Mumbai,Monica Chinese Fast Food,350.0,3.8999999999999995,50.0,Chinese,Antop Hill,57.0,1
Kothapet,Hyderabad,Kinara Grand,749.9999999999999,3.8999999999999995,1000.0,"North Indian,Chinese,Biryani",Ashta Laxmi Temple,58.00000000000001,0
New Tippasandra,Bangalore,Dal Roti Sabji,150.0,4.5,100.0,North Indian,80Ft Road,53.99999999999999,0
Ashok Nagar,Bangalore,Mainland China,850.0,4.3,100.0,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Church Street,40.0,1
Vasanth Nagar,Bangalore,Shezan,600.0,4.3,100.0,"North Indian,Chinese,Continental,Mughlai",Cunnigham Road,44.0,1
Vasanth Nagar,Bangalore,Dolci Desserts,600.0,4.5,50.0,"Desserts,Pastas",Cunnigham Road,40.0,0
Deccan Gymkhana,Pune,Subway,350.0,4.4,100.0,"Fast Food,Healthy Food,Salads,Snacks,Desserts,Beverages",Fc Road,35.0,1
Bandra Area,Mumbai,Smoke House Deli,600.0,4.4,100.0,"European,Italian,American,Pastas,Salads,Juices,Desserts,Combo",Bandra Area,48.0,1
Bhawani Peth,Pune,Madinah,200.0,4.0,500.0,"Mughlai,North Indian,Chinese,Biryani",Poona College,34.0,1
Bidhannagar,Kolkata,First Innings - The Stadel Hotel,800.0,4.5,20.0,"North Indian,Chinese,Continental",Sector 3,69.0,0
Basheer Bagh,Hyderabad,Meghacity,500.0,4.4,1000.0,"North Indian,Chinese",Basheerbagh X Road,32.0,1
Kalyani Nagar,Pune,Salad Grills,300.0,4.3,100.0,"Healthy Food,Salads,Fast Food,Continental,North Indian,Chinese",Hermes Parai,63.0,1
Ashok Nagar,Bangalore,Oh! Calcutta,800.0,4.3,100.0,Bengali,Church Street,36.0,1
Shankarapura,Bangalore,Polar Bear,300.0,4.5,100.0,"Desserts,Fast Food",Vv Puram,38.0,1
Vasanth Nagar,Bangalore,Miller'S 46,1100.0,4.4,100.0,"Steakhouse,American,Continental",Cunnigham Road,47.0,1
Sivanchetti Gardens,Bangalore,Carnival De Goa,500.0,4.1,100.0,"Goan,Mangalorean,Kerala,South Indian,Seafood,Coastal,Continental",Kensington Point,48.0,0
Elgin,Kolkata,The Rouge,400.0,4.4,50.0,Desserts  Bakery,Near Bishop'S College  Kolkata,51.0,1
Bidhannagar,Kolkata,The Darjeeling,500.0,4.0,100.0,"Chinese,Nepalese,Tibetan",Near City Centre 1,73.0,1
Paschim Vihar,Delhi,London Grill Co,500.0,4.0,1000.0,"American,Healthy Food,Fast Food,Continental,Salads,Beverages,Desserts",Paschim Vihar,50.00000000000001,0
Mumbai,Mumbai,Mughal Fusions,300.0,3.8999999999999995,100.0,"Mughlai,North Indian,Chinese,Seafood",Lbs Marg,38.0,1
Kurla West,Mumbai,Mughal Darbaar,300.0,3.7,500.0,"Mughlai,North Indian,Chinese,Seafood",Lbs Marg,40.0,1
Saki Naka,Mumbai,Naaz Hotel,749.9999999999999,4.1,500.0,"Mughlai,North Indian,Chinese",Kurla West,39.0,1
Teynampet,Chennai,Amaravathi,650.0,4.2,100.0,"Indian,Chinese,Andhra,Tandoor",Cathedral Road,53.0,0
Nandanam,Chennai,Eatalica,500.0,4.5,100.0,"Italian,American",Ra Puram,69.0,0
Rajajinagar,Bangalore,Kudla Beach,400.0,3.8999999999999995,20.0,"North Indian,Chinese,Seafood,South Indian",Dr. Rajkumar Road,59.0,0
Langford Gardens,Bangalore,Rolls Kitchen,200.0,4.4,500.0,Fast Food,Shanthi Nagar,35.0,1
Punjagutta,Hyderabad,Zyqa Restaurant,200.0,4.0,500.0,"North Indian,Biryani,Chinese",Punjagutta,55.0,1
Himayatnagar,Hyderabad,Sahara Bakers,200.0,3.8,500.0,"Bakery,Pizzas",Chikadpally,34.0,1
Kurla West,Mumbai,Mughal Dhaba,500.0,4.0,20.0,"Mughlai,North Indian,Chinese",Lbs Marg Kurla West,36.0,1
Deccan Gymkhana,Pune,Spring Onion,500.0,4.3,100.0,"Chinese,Thai,Pan-Asian,Seafood",Bhandarkar Road,39.0,1
Koti,Hyderabad,Tibbs Frankie,150.0,4.3,100.0,Snacks,Hanuman Tekdi Road,29.000000000000004,1
Kalighat,Kolkata,Petuk,350.0,4.0,20.0,"Mughlai,Chinese,Fast Food",Near Sujata Sadan Theater Hazra,70.0,1
Malleshwaram,Bangalore,Shanthi Sagar Grand,200.0,4.0,100.0,"North Indian,South Indian,Fast Food",Sampige Road,57.0,1
Abids,Hyderabad,Agrawala Sweets,250.0,4.3,100.0,"Sweets,Fast Food",Jn Road,26.999999999999996,0
Powai,Mumbai,Eagle Boys Pizza,600.0,3.7,100.0,Pizzas  Fast Food,Chandivali,56.0,0
Richmond Town,Bangalore,Freshmenu,250.0,4.1,1000.0,"Chinese,Continental,Italian,Mediterranean,Thai,Lebanese,American,Asian,Beverages,Bakery,Biryani,Desserts,Mexican,North Indian,Salads,Pizzas",Aga Abdullah Street,38.0,0
Himayatnagar,Hyderabad,Angaara,250.0,3.8999999999999995,100.0,"Indian,Chinese,Tandoor",Street 4,33.0,0
Santacruz East,Mumbai,Golden Wave Restaurant,1000.0,2.9,80.0,"North Indian,Chinese,Continental",Santacruz East,56.0,0
Bidhannagar,Kolkata,Afraa Deli-Sector 1,700.0,4.3,50.0,"Continental,Fast Food,Italian,Beverages",Sector 1,67.0,0
Bidhannagar,Kolkata, Conclave At Afraa,850.0,3.8999999999999995,50.0,"Italian,Indian,Continental",Salt Lake City Centre,75.0,0
Ashok Nagar,Bangalore,Shiro,1400.0,4.4,100.0,"Japanese,Asian",Vittal Mallya Road,44.0,1
Khairtabad,Hyderabad,Paradise Biryani,400.0,3.8999999999999995,100.0,Biryani  North Indian  Chinese,Imax Road,48.0,1
Aundh,Pune,Delhi Kitchen,300.0,4.0,100.0,"Tandoor,North Indian,Biryani,Beverages,Desserts",Dp Road,69.0,0
Vishnu Garden,Delhi,Sethi Restaurant,300.0,4.0,1000.0,North Indian,Pacific Mall,63.0,1
Beleghata,Kolkata,Mama Mia! - Italian Ice Creams,200.0,4.7,100.0,Ice Cream Cakes  Desserts  Bakery  Sweets  Beverages,Beleghata,34.0,1
Lake Town,Kolkata,Buddha Bites-Jessore Road,300.0,3.7,1000.0,"Chinese,Asian,Fast Food,Snacks,Tibetan",Jessore Road,74.0,0
Gopalapuram,Chennai,The Kati Roll Shop,250.0,4.3,1000.0,Street Food,Cathedral Road,52.0,1
Powai Area,Mumbai,Asia Kitchen By Mainland China,850.0,4.3,100.0,"Asian,Chinese,Oriental",Powai Area,55.0,0
Alwarpet,Chennai,Benjarong,1499.9999999999998,4.6,100.0,Thai,Ttk Road,68.0,0
Mylapore,Chennai,Kaaraikudi,500.0,3.6,100.0,Chettinad,Dr Radhakrishnan Salai,57.0,0
Central Markt Punjabi Bagh,Delhi,Wok In The Clouds,1499.9999999999998,4.5,50.0,"North Indian,Chinese,Thai,Continental",Punjabi Bagh,72.0,1
Golpark,Kolkata,Crossroad Crystal - Golpark,350.0,4.1,50.0,"Indian,Chinese,Bengali",Golpark,71.0,0
Andheri East,Mumbai,99 East,300.0,2.9,80.0,North Indian  Chinese  Seafood,Andheri East,57.0,0
Pashan,Pune,Saffron Multicuisine,400.0,4.5,20.0,"Mughlai,North Indian,Chinese,Seafood,Tandoor",Orange County Baner Pashan Link Road,68.0,1
South Kolkata,Kolkata,Second House,500.0,2.9,80.0,"North Indian,Chinese,Kebabs,Biryani,Mughlai",Southern Avenue,84.0,1
Gariahat,Kolkata,Santa'S Fantasea,1200.0,4.3,100.0,"Tribal,Seafood,Chinese",Ballygunge Terrace Near Anjali Jewellers Golpark,80.0,1
Punjagutta,Hyderabad,Akson Restaurant,250.0,4.3,1000.0,"North Indian,Biryani,Kerala",Panjagutta Road,53.0,0
Kotturpuram,Chennai,Ciclo Cafe,1100.0,4.4,1000.0,"Continental,Italian,Italian-American",Alwarpet,71.0,0
Paschim Vihar,Delhi,Chawla Kitchen,500.0,3.8,500.0,"Chinese,Mughlai,Indian,Snacks,Popular Brand Store,Fast Food",Punjabi Bagh,48.0,0
Habsiguda,Hyderabad,Taste Of India,600.0,4.2,20.0,"North Indian,Chinese,Continental",Habsiguda Main Road,67.0,1
Uppal,Hyderabad,Crunchy'S,150.0,3.8,20.0,"Italian,American",Uppal Ring Road,72.0,0
Indiranagar,Bangalore,Paris Panini - French Street Food,450.00000000000006,4.4,1000.0,"French,Street Food",Hal 3Rd Stage,57.0,1
Alwarpet,Chennai,Ashvita Bistro,500.0,4.1,20.0,"Continental,Asian",Alwarpet,69.0,0
Alwarpet,Chennai,Gogo Momo,350.0,4.2,50.0,Chinese,Bava Road,65.0,0
